Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42947337,Ramayana Versus Mahabharata: My Playful Comparison,Devdutt Pattanaik,"Pattanaik, Devdutt",,"=""935333232X""","=""9789353332327""",5,3.88,Rupa Publications,Kindle Edition,192,2018,,2020/01/16,2020/01/15,self-help,self-help (#27),read,,,,1,0
19900738,God Talks with Arjuna: The Bhagavad Gita (set of 2 volumes),Paramahansa Yogananda,"Yogananda, Paramahansa",,"=""""","=""""",5,4.60,Yogoda Satsanga Society of India,Paperback,,2009,1940,,2018/01/03,to-read,to-read (#14),to-read,,,,0,1
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""0857197681""","=""9780857197689""",5,4.30,Harriman House,Paperback,252,2020,2020,2021/05/24,2021/05/23,,,read,,,,1,0
486381,Who Moved My Cheese?: An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,"Johnson, Spencer",Kenneth Blanchard,"=""0091816971""","=""9780091816971""",5,3.86,Vermilion,Paperback,95,1999,1999,2021/01/09,2021/01/09,,,read,,,,1,0
41721428,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,"Goggins, David",,"=""1544512260""","=""""",0,4.31,Lioncrest Publishing,Kindle Edition,366,2018,2018,,2020/12/05,currently-reading,currently-reading (#18),currently-reading,,,,1,0
1164413,"Power Speak: Engage, Inspire, and Stimulate Your Audience",Dorothy Leeds,"Leeds, Dorothy",,"=""1564146847""","=""9781564146847""",0,3.78,Weiser,Paperback,288,2003,1988,,2020/12/05,currently-reading,currently-reading (#17),currently-reading,,,,1,0
26051851,"Fundamental Analysis for Investors: How to Make Consistent, Long-term Profits in the Stock Market",Raghu Palat,"Palat, Raghu",,"=""8170947952""","=""9788170947950""",4,3.45,Vision Books,Paperback,192,2013,2010,2018/04/03,2018/01/03,investment,investment (#1),read,,,,1,1
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.35,Vintage,Paperback,512,2015,2011,,2020/08/14,currently-reading,currently-reading (#16),currently-reading,,,,1,0
7108725,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,"Sinek, Simon",,"=""1591842808""","=""9781591842804""",5,4.10,Portfolio,Hardcover,256,2009,2009,2020/09/25,2020/08/22,"business, self-help","business (#21), self-help (#34)",read,,,,1,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,"=""1501135910""","=""9781501135910""",0,4.47,Scribner,Hardcover,400,2016,2016,,2020/09/23,to-read,to-read (#47),to-read,,,,0,0
762462,One Up On Wall Street: How to Use What You Already Know to Make Money in the Market,Peter Lynch,"Lynch, Peter",,"=""0743200403""","=""9780743200400""",0,4.28,Simon & Schuster,Paperback,304,2000,1988,,2020/09/23,to-read,to-read (#46),to-read,,,,0,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",5,4.15,Ecco,Hardcover,392,2015,2015,2020/09/23,2018/01/04,biography,biography (#1),read,,,,1,1
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""0525512179""","=""9780525512172""",0,4.16,Random House,Hardcover,372,2018,2018,,2020/09/23,to-read,to-read (#45),to-read,,,,0,0
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.20,Harper,Kindle Edition,450,2017,2015,,2020/09/23,to-read,to-read (#44),to-read,,,,0,0
16256798,The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,"Keller, Gary",Jay Papasan,"=""1885167776""","=""9781885167774""",5,4.13,Bard Press,Hardcover,240,2013,2012,2020/09/11,2018/01/06,self-help,self-help (#4),read,,,,1,0
213030,Machine Learning (McGraw-Hill International Editions Computer Science Series),Tom M. Mitchell,"Mitchell, Tom M.",,"=""0071154671""","=""9780071154673""",0,4.06,McGraw-Hill,Paperback,414,1997,1986,,2020/09/06,currently-reading,currently-reading (#15),currently-reading,,,,1,0
23878688,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,"Chapman, Gary",,"=""0802492401""","=""9780802492401""",5,4.27,Northfield Publishing,Kindle Edition,232,2024,1990,2019/12/01,2020/01/15,self-help,self-help (#26),read,,,,1,0
7153903,F.U. Money: Make As Much Money As You Want And Live Your Life As You Damn Well Please!,Dan Lok,"Lok, Dan",,"=""1599321475""","=""9781599321479""",4,3.90,Advantage Media Group,Hardcover,248,2009,2009,,2018/01/04,"business, self-help","business (#1), self-help (#7)",read,,,,1,0
